FanDuel,Position,First Name,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details
7.503435135,PG,Jason,Terry,9.5,27,3500,HOU@SA,HOU,SA,,
2.76809597,PF,Jeremy,Evans,4.6,22,3500,NO@DAL,DAL,NO,,
10.87692547,PG,Tyus,Jones,7.7,7,3500,MIL@MIN,MIN,MIL,,
4.186348915,PG,Spencer,Dinwiddie,7.7,9,3500,DET@IND,DET,IND,,
8.985482216,C,Anderson,Varejao,6.3,23,3500,ORL@CLE,CLE,ORL,,
13.6647377,SG,Andre,Roberson,12.9,32,3500,OKC@CHA,OKC,CHA,,
3.973936796,SF,K.J.,McDaniels,3.2,10,3500,HOU@SA,HOU,SA,,
7.504279613,SG,Anthony,Morrow,8.3,31,3500,OKC@CHA,OKC,CHA,,
5.545842648,C,Tibor,Pleiss,1,5,3500,MEM@UTA,UTA,MEM,,
7.353384495,SF,Kostas,Papanikolaou,6.1,24,3500,DEN@GS,DEN,GS,,
10.08783913,PF,Charlie,Villanueva,11,29,3500,NO@DAL,DAL,NO,,
3.963396549,SG,Jared,Cunningham,6.4,24,3500,ORL@CLE,CLE,ORL,,
7.632902145,SF,Tayshaun,Prince,7.2,33,3500,MIL@MIN,MIN,MIL,,
17.10095978,SF,Nemanja,Bjelica,12.1,28,3500,MIL@MIN,MIN,MIL,,
6.451194763,SG,Lance,Stephenson,9.4,31,3500,PHI@LAC,LAC,PHI,,
5.704835892,SF,Kyle,Singler,5,24,3500,OKC@CHA,OKC,CHA,,
5.795316696,PG,Ray,McCallum,4.5,14,3500,HOU@SA,SA,HOU,,
6.148746967,SF,Rasual,Butler,6.1,24,3500,HOU@SA,SA,HOU,,
10.1231432,SG,Brandon,Rush,9.9,24,3500,DEN@GS,GS,DEN,,
7.495954514,PF,Tyler,Hansbrough,5.5,16,3500,OKC@CHA,CHA,OKC,,
7.069229603,C,Miles,Plumlee,6.6,21,3500,MIL@MIN,MIL,MIN,,
7.300635815,C,Chuck,Hayes,6.8,2,3500,HOU@SA,HOU,SA,,
5.346262932,SF,Elijah,Millsap,5.9,20,3500,MEM@UTA,UTA,MEM,,
13.47725296,SF,Wesley,Johnson,10.6,34,3500,PHI@LAC,LAC,PHI,,
4.874189854,SF,Luke,Babbitt,9.2,17,3500,NO@DAL,NO,DAL,,
10.16467476,PF,Carl,Landry,15.4,3,3500,PHI@LAC,PHI,LAC,,
12.96127796,PF,Darrell,Arthur,14.5,30,3500,DEN@GS,DEN,GS,,
8.087114334,PG,Shabazz,Napier,8.4,27,3500,ORL@CLE,ORL,CLE,,
11.39149952,SG,Solomon,Hill,6.9,16,3500,DET@IND,IND,DET,,
10.10772228,SF,Alonzo,Gee,9.9,32,3500,NO@DAL,NO,DAL,,
3.822951555,PF,Mitch,McGary,3.3,6,3500,OKC@CHA,OKC,CHA,,
4.066447258,PG,Aaron,Harrison,2.6,5,3500,OKC@CHA,CHA,OKC,,
12.29920387,SG,Nik,Stauskas,12.7,31,3500,PHI@LAC,PHI,LAC,,
10.47111416,SG,Jonathon,Simmons,9.5,20,3500,HOU@SA,SA,HOU,,
5.029904366,SF,Glenn,Robinson III,6.9,18,3500,DET@IND,IND,DET,,
6.856511116,PF,Montrezl,Harrell,6.3,17,3500,HOU@SA,HOU,SA,,
7.755823135,PF,JaMychal,Green,12.6,34,3500,MEM@UTA,MEM,UTA,,
11.41838455,SF,Corey,Brewer,13.4,34,3500,HOU@SA,HOU,SA,,
